step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,step_seconds,wall_clock_s
0,2.299921989440918,3.009812116622925,2.4019861221313477,0.0859375,0.125,0.035432167001999915,0.03802170796552673
1,2.3670361042022705,2.7776341438293457,2.365410089492798,0.0859375,0.078125,0.011087834020145237,0.051208916993346065
2,2.297649621963501,2.6480480829874673,2.2913196086883545,0.0859375,0.078125,0.011419750051572919,0.06469562498386949
3,2.2304182052612305,2.5551571249961853,2.38201904296875,0.0859375,0.15625,0.010350833006668836,0.0773615829530172
4,2.2919270992279053,2.536422920227051,2.2886297702789307,0.0859375,0.0625,0.00886825000634417,0.08828708296641707
5,2.289029836654663,2.5012046098709106,2.2960355281829834,0.0859375,0.078125,0.007601333025377244,0.09808887500548735
6,2.2988414764404297,2.4732539653778076,2.290404796600342,0.0859375,0.109375,0.007201500004157424,0.10742679197574034
7,2.2545154094696045,2.4503038823604584,2.290433406829834,0.0859375,0.09375,0.006342499982565641,0.11581120797200128
8,2.246746778488159,2.4325235419803195,2.2727179527282715,0.0859375,0.0625,0.007477125036530197,0.12541699997382239
9,2.1549720764160156,2.41033992767334,2.2907514572143555,0.0859375,0.078125,0.007569541980046779,0.13500129198655486
10,2.2758965492248535,2.346091151237488,2.2815732955932617,0.0859375,0.09375,0.010955334000755101,0.1481347919907421
11,2.274442672729492,2.3210007429122923,2.2803795337677,0.0859375,0.0625,0.007663041993509978,0.15793141699396074
12,2.286914110183716,2.3110109329223634,2.287550687789917,0.08203125,0.078125,0.008127917011734098,0.16810012498172
13,2.2026326656341553,2.311496448516846,2.266380548477173,0.0859375,0.125,0.006206375022884458,0.17679058300564066
14,2.2252769470214844,2.291434907913208,2.2598114013671875,0.0859375,0.078125,0.00864129199180752,0.18759158300235868
15,2.2101926803588867,2.282428336143494,2.269235134124756,0.0859375,0.078125,0.007898874988313764,0.19762441696366295
16,2.20756196975708,2.2790172576904295,2.2471914291381836,0.0859375,0.0625,0.009607958025299013,0.20940116699784994
17,2.2223997116088867,2.277667927742004,2.2609829902648926,0.11328125,0.109375,0.010515292000491172,0.22207024996168911
18,2.186176061630249,2.2717509269714355,2.264604091644287,0.0859375,0.109375,0.013773374957963824,0.2381164999678731
19,2.245265007019043,2.276719260215759,2.2680535316467285,0.0859375,0.1875,0.009499125008005649,0.24988608295097947
20,2.1815898418426514,2.2686330556869505,2.2449285984039307,0.08984375,0.109375,0.010687500005587935,0.26289329200517386
21,2.122215747833252,2.2593685150146485,2.2804203033447266,0.08203125,0.09375,0.010205042024608701,0.275507332989946
22,2.0770487785339355,2.251676249504089,2.300058603286743,0.078125,0.125,0.01411504199495539,0.29172350000590086
23,2.1304073333740234,2.246408200263977,2.304090738296509,0.08984375,0.15625,0.016743041982408613,0.3108090419555083
24,2.268639326095581,2.258147883415222,2.323244094848633,0.0859375,0.109375,0.01524087501456961,0.32821637496817857
25,2.255237340927124,2.270852279663086,2.2649662494659424,0.05859375,0.09375,0.014197374985087663,0.34445199999026954
26,2.22658109664917,2.2712285041809084,2.2380316257476807,0.1015625,0.140625,0.008419666963163763,0.35480129200732335
27,2.089662551879883,2.2655473709106446,2.2391810417175293,0.09765625,0.140625,0.008348000003024936,0.3652291669859551
28,2.1901965141296387,2.271602463722229,2.209853172302246,0.0859375,0.125,0.010766457999125123,0.37801504199160263
29,2.1776528358459473,2.2737292051315308,2.221977472305298,0.1015625,0.09375,0.011070541979279369,0.39108920795843005
30,2.1408889293670654,2.2641392946243286,2.224966049194336,0.1015625,0.109375,0.013513999991118908,0.40651229198556393
31,2.1459434032440186,2.2656158924102785,2.2203588485717773,0.11328125,0.15625,0.014768124965485185,0.4233194169937633
32,2.2511215209960938,2.2701764345169066,2.5923848152160645,0.0546875,0.1875,0.011212749988771975,0.43659008300164714
33,2.2296228408813477,2.314896273612976,2.435277223587036,0.0546875,0.125,0.01267820899374783,0.45145208295434713
34,2.2421720027923584,2.3202930450439454,2.274608612060547,0.05859375,0.125,0.018320667033549398,0.47184366697911173
35,2.2256338596343994,2.310477638244629,2.3133392333984375,0.0546875,0.125,0.011969915998633951,0.48607004195218906
36,2.237790822982788,2.3200057983398437,2.265554428100586,0.09375,0.09375,0.01347054197685793,0.5015650829882361
37,2.1822149753570557,2.325028967857361,2.36582350730896,0.09765625,0.171875,0.011883708997629583,0.5157235829974525
38,2.328810214996338,2.330567145347595,2.4616053104400635,0.09765625,0.125,0.017455791996326298,0.5351685420027934
39,2.5189366340637207,2.359755754470825,2.482848882675171,0.09765625,0.046875,0.018278417002875358,0.5554682079819031
40,2.256143093109131,2.4014516830444337,2.6991875171661377,0.15625,0.140625,0.017502041009720415,0.5751035419525579
41,2.8636603355407715,2.4777730226516725,2.74951171875,0.1171875,0.078125,0.024231040966697037,0.6016295419540256
42,2.7599353790283203,2.546999478340149,2.6570653915405273,0.11328125,0.078125,0.022514374984893948,0.6261815420002677
43,2.412688732147217,2.5534669160842896,2.4885776042938232,0.109375,0.109375,0.029278125031851232,0.6576622919528745
44,2.5332155227661133,2.578097772598267,2.6289799213409424,0.109375,0.046875,0.02665254200110212,0.6863982499926351
45,2.6933350563049316,2.6302915096282957,2.8729074001312256,0.11328125,0.125,0.03149162500631064,0.7199275830062106
46,2.6057355403900146,2.6763834238052366,2.707869291305542,0.11328125,0.109375,0.024017291027121246,0.7459645419730805
47,2.3767895698547363,2.7093040466308596,2.5701630115509033,0.11328125,0.15625,0.035369666991755366,0.7834956249571405
48,2.4653961658477783,2.7290825128555296,2.640197277069092,0.11328125,0.0625,0.033799416036345065,0.8195444580051117
49,2.5147173404693604,2.725235843658447,2.900308847427368,0.11328125,0.0625,0.03292841702932492,0.8545474169659428
50,3.016301155090332,2.7704029083251953,3.186605215072632,0.11328125,0.03125,0.03464475000509992,0.8911738329916261
51,3.196715831756592,2.8103737592697144,3.30107045173645,0.11328125,0.0625,0.03441133297747001,0.9277807499747723
52,2.8395376205444336,2.813971924781799,3.29898738861084,0.11328125,0.171875,0.038003458990715444,0.9679218749515712
53,3.5788650512695312,2.9063979148864747,3.470946788787842,0.11328125,0.046875,0.036572208045981824,1.0066477920045145
54,3.0460689067840576,3.0106327533721924,3.083967447280884,0.0703125,0.109375,0.03761766594834626,1.046601332956925
55,2.5176730155944824,3.012885093688965,2.7739927768707275,0.10546875,0.125,0.0310505410307087,1.079739457985852
56,2.4721102714538574,3.018934965133667,2.70654559135437,0.10546875,0.171875,0.033165916975121945,1.1149852079688571
57,2.36838436126709,3.006683611869812,3.0848121643066406,0.109375,0.1875,0.028080500022042543,1.1450326250051148
58,3.1607677936553955,3.088085103034973,3.056185483932495,0.1171875,0.109375,0.03357166703790426,1.1807220419868827
59,2.947343587875366,3.1366145610809326,2.877810478210449,0.11328125,0.09375,0.028634042013436556,1.211392541998066
60,2.2057900428771973,3.099636363983154,2.5887606143951416,0.10546875,0.15625,0.023049833020195365,1.2363707919721492
61,2.215810537338257,2.99377863407135,2.5623693466186523,0.11328125,0.15625,0.04276420903624967,1.2813382080057636
62,2.2220354080200195,2.9312105417251586,2.3316118717193604,0.109375,0.203125,0.02806233399314806,1.311404624953866
63,2.117238998413086,2.7850017786026,2.5707852840423584,0.12890625,0.171875,0.02042400004575029,1.334015582979191
64,2.154430389404297,2.6528485774993897,2.320603609085083,0.1171875,0.140625,0.02655266597867012,1.3625374999828637
65,2.1354029178619385,2.588058018684387,2.384483814239502,0.1015625,0.203125,0.021376167016569525,1.385945041954983
66,2.5666284561157227,2.5578505039215087,2.415921688079834,0.1015625,0.046875,0.02617475000442937,1.414148124982603
67,2.2461276054382324,2.5381911039352416,2.409850597381592,0.109375,0.140625,0.02308291697409004,1.4393154999706894
68,2.189692258834839,2.4273815631866453,2.3274033069610596,0.0859375,0.125,0.021289874974172562,1.4627497079782188
69,2.4487409591674805,2.375559401512146,2.419475793838501,0.09765625,0.15625,0.022918707982171327,1.4877659999765456
70,2.235694408416748,2.331832480430603,2.7261486053466797,0.09765625,0.15625,0.019090042042080313,1.5092271249741316
71,2.58756160736084,2.385984110832214,2.5826308727264404,0.0859375,0.046875,0.016930375015363097,1.5282867079949938
72,2.5405163764953613,2.4096203804016114,2.5462543964385986,0.0859375,0.0625,0.015698124945629388,1.546013166953344
73,2.2029049396514893,2.4294891119003297,2.4408011436462402,0.0859375,0.125,0.012152292008977383,1.560179749969393
74,2.242575168609619,2.420428681373596,2.3241748809814453,0.1015625,0.109375,0.013683416997082531,1.576068166992627
75,2.163708209991455,2.428108787536621,2.335442066192627,0.08984375,0.125,0.01558783301152289,1.5936535419896245
76,2.144911766052246,2.389802885055542,2.240233898162842,0.10546875,0.078125,0.014190167014021426,1.6100058750016615
77,2.1511332988739014,2.38498375415802,2.2160558700561523,0.109375,0.15625,0.012441417027730495,1.6245200419798493
78,2.1351351737976074,2.374266242980957,2.3324732780456543,0.1015625,0.140625,0.012448207999113947,1.6390985419857316
79,2.0489234924316406,2.3377808332443237,2.286956310272217,0.1015625,0.171875,0.0149941670242697,1.6562982919858769
80,2.1496033668518066,2.339427375793457,2.2765867710113525,0.1171875,0.078125,0.012811791966669261,1.6710839999723248
81,2.19685697555542,2.282174015045166,2.2179112434387207,0.14453125,0.140625,0.01164416701067239,1.6848434580024332
82,2.2600982189178467,2.2523511409759522,2.2120068073272705,0.15234375,0.0625,0.009905582992359996,1.6967601249925792
83,2.2050938606262207,2.2376808643341066,2.228471279144287,0.1015625,0.125,0.009897875017486513,1.7086359579698183
84,2.1985414028167725,2.2294447660446166,2.3297743797302246,0.10546875,0.15625,0.010846707969903946,1.7216321249725297
85,2.2125444412231445,2.23481969833374,2.241753101348877,0.11328125,0.203125,0.011153041035868227,1.7347184999962337
86,2.1229288578033447,2.2365822553634644,2.217700481414795,0.1171875,0.15625,0.010746957967057824,1.7475195829756558
87,2.0470283031463623,2.2243980884552004,2.2539968490600586,0.13671875,0.234375,0.010419707978144288,1.7599499579519033
88,2.047426223754883,2.2237363338470457,2.208754777908325,0.1171875,0.21875,0.01107204199070111,1.773093957977835
89,2.1247167587280273,2.227674698829651,2.1924431324005127,0.12890625,0.140625,0.012336207961197942,1.787626667006407
90,2.1437222957611084,2.2158248662948608,2.1892244815826416,0.12890625,0.171875,0.012254500004928559,1.8018358330009505
91,2.1545352935791016,2.2043665170669557,2.1895172595977783,0.13671875,0.140625,0.012663916975725442,1.8166343329939991
92,2.0850563049316406,2.1884721517562866,2.1914639472961426,0.1328125,0.171875,0.01290050003444776,1.8316294169635512
93,2.1312448978424072,2.1826844453811645,2.279019594192505,0.10546875,0.09375,0.011899999983143061,1.8455550000071526
94,2.1374998092651367,2.1766000986099243,2.2334017753601074,0.109375,0.15625,0.008574415987823159,1.8562954999506474
95,2.196352243423462,2.172240972518921,2.1941308975219727,0.1171875,0.0625,0.009007457992993295,1.8673594580031931
96,2.0328543186187744,2.1598958730697633,2.23103666305542,0.10546875,0.296875,0.01054454199038446,1.8799052920076065
97,2.139148235321045,2.1672986507415772,2.267000675201416,0.1171875,0.15625,0.011514374986290932,1.8934833749663085
98,2.1519696712493896,2.1734532356262206,2.226736307144165,0.14453125,0.078125,0.012419583043083549,1.9081117080058903
99,2.1971793174743652,2.1803520202636717,2.220170021057129,0.140625,0.109375,0.01171412505209446,1.9217848749831319
100,2.208197832107544,2.188886857032776,2.2921037673950195,0.109375,0.15625,0.010789207997731864,1.934505374985747
101,2.2692477703094482,2.2064099073410035,2.239804267883301,0.10546875,0.125,0.009471166995353997,1.9460117919952609
102,2.142085552215576,2.2120119094848634,2.2539801597595215,0.1015625,0.109375,0.012617083033546805,1.9608637079945765
103,2.1691462993621826,2.2110565185546873,2.253234386444092,0.09765625,0.109375,0.013567999994847924,1.9766200829762965
104,2.2304835319519043,2.2179208278656004,2.3239214420318604,0.09765625,0.09375,0.01075520901940763,1.989469999971334
105,2.1898984909057617,2.21973135471344,2.252624988555908,0.08984375,0.09375,0.010388707974925637,2.0017586670001037
106,2.1397347450256348,2.2270752429962157,2.2718393802642822,0.1171875,0.140625,0.010717916011344641,2.014440457976889
107,2.191038131713867,2.2349770069122314,2.239497661590576,0.1015625,0.140625,0.012402915977872908,2.0287467499729246
108,2.041703939437866,2.2296402215957642,2.217372179031372,0.1171875,0.09375,0.01163433404872194,2.0424545419518836
109,2.0175211429595947,2.214512848854065,2.2292068004608154,0.10546875,0.15625,0.012556125002447516,2.0572823749971576
110,2.055370569229126,2.2092141628265383,2.2414543628692627,0.12109375,0.1875,0.011945792008191347,2.0712990000029095
111,2.206777572631836,2.1955452442169188,2.2594552040100098,0.13671875,0.09375,0.014995959005318582,2.088455916964449
112,2.401618480682373,2.2305256605148314,2.304612159729004,0.1015625,0.109375,0.014100708009209484,2.104695666988846
113,2.143613815307617,2.2388911724090574,2.2413156032562256,0.1171875,0.109375,0.014452625007834285,2.121159375004936
114,2.0536420345306396,2.2253801584243775,2.2816414833068848,0.09765625,0.140625,0.012731208000332117,2.1360066249617375
115,2.2223458290100098,2.221424961090088,2.2940754890441895,0.09765625,0.09375,0.01192925003124401,2.150061124993954
116,2.0864546298980713,2.2198111534118654,2.358079433441162,0.11328125,0.203125,0.015088666987139732,2.167197041970212
117,2.1454837322235107,2.2344840288162233,2.253161907196045,0.1171875,0.15625,0.015457875037100166,2.1848158329958096
118,2.088158130645752,2.2431517362594606,2.223475694656372,0.125,0.15625,0.0138666249695234,2.2007907079532743
119,2.117720603942871,2.2553126573562623,2.2070798873901367,0.12890625,0.171875,0.013163957977667451,2.2160642499802634
120,2.188819169998169,2.2565463066101072,2.2303032875061035,0.109375,0.125,0.011968375009018928,2.2301658329670317
121,2.1207919120788574,2.2564945220947266,2.430802345275879,0.10546875,0.09375,0.008891500008758157,2.2412635419750586
122,2.195021390914917,2.2332338094711304,2.2427825927734375,0.0625,0.0625,0.010100457991939038,2.253475457953755
123,2.1960878372192383,2.229872632026672,2.210520029067993,0.10546875,0.125,0.013552709016948938,2.2691053329617716
124,2.2149972915649414,2.2443881273269652,2.2283859252929688,0.0546875,0.125,0.013158207992091775,2.284462082956452
125,2.1508049964904785,2.244179391860962,2.217020034790039,0.109375,0.125,0.01381370797753334,2.3004570829798467
126,2.1104483604431152,2.241040253639221,2.2135801315307617,0.08203125,0.125,0.014519624994136393,2.317234916961752
127,2.1377339363098145,2.2192408561706545,2.266864061355591,0.0859375,0.0625,0.010918083018623292,2.3301821670029312
128,2.20565128326416,2.21988844871521,2.242126703262329,0.109375,0.125,0.012863708019722253,2.3451113329501823
129,2.1353635787963867,2.2192925930023195,2.3141040802001953,0.1015625,0.140625,0.013850999996066093,2.360903082997538
130,2.220252752304077,2.2291339159011843,2.3760738372802734,0.09765625,0.109375,0.016372833983041346,2.379256082989741
131,2.190988302230835,2.233297872543335,2.3631510734558105,0.11328125,0.140625,0.015520957997068763,2.3970028329640627
132,2.2464473247528076,2.2297203302383424,2.334007978439331,0.1015625,0.234375,0.01815837499452755,2.4171108749578707
133,2.1586785316467285,2.2368698596954344,2.2448434829711914,0.09765625,0.03125,0.013428749982267618,2.4324736669659615
134,2.0244195461273193,2.2224120616912844,2.320916175842285,0.1015625,0.140625,0.018380458001047373,2.4529155420023017
135,2.1174681186676025,2.233860468864441,2.268218755722046,0.125,0.125,0.01751145801972598,2.472664500004612
136,2.3531017303466797,2.260519242286682,2.334782361984253,0.06640625,0.0625,0.019407999992836267,2.494162291986868
137,2.167250156402588,2.269325089454651,2.697986602783203,0.11328125,0.171875,0.015379333053715527,2.5116084999754094
138,2.3549399375915527,2.288592576980591,2.3692450523376465,0.15625,0.046875,0.01726508402498439,2.5309808329911903
139,2.233304500579834,2.298560953140259,2.7226788997650146,0.1171875,0.1875,0.018994125013705343,2.551984999969136
140,2.5834155082702637,2.3607085227966307,2.62638258934021,0.0625,0.046875,0.018700749962590635,2.5727098750066943
141,2.4043989181518555,2.386303353309631,2.9050631523132324,0.109375,0.09375,0.021950166032183915,2.596827332978137
142,2.461475372314453,2.4421703100204466,2.4383673667907715,0.109375,0.0625,0.022155624988954514,2.621127708000131
143,2.1603891849517822,2.4410642862319945,2.260989189147949,0.09765625,0.125,0.016478665987960994,2.639790582994465
144,2.283616542816162,2.467881917953491,2.228480339050293,0.1015625,0.078125,0.013968624989502132,2.6559095829725266
145,2.168687582015991,2.453282284736633,2.2369577884674072,0.109375,0.140625,0.006922333035618067,2.6651826669694856
146,2.2553014755249023,2.443146014213562,2.243896007537842,0.10546875,0.09375,0.008055208018049598,2.675359999993816
147,2.2173852920532227,2.440877819061279,2.219406843185425,0.10546875,0.109375,0.008020374982152134,2.685512333002407
148,2.157538890838623,2.417233610153198,2.21250057220459,0.1015625,0.109375,0.008074957993812859,2.6957489579799585
149,2.2156825065612793,2.4125869274139404,2.2280941009521484,0.0859375,0.15625,0.010440582991577685,2.7083577919984236
150,2.2104883193969727,2.3467549324035644,2.2145538330078125,0.09765625,0.125,0.011210958007723093,2.7218837499967776
151,2.1633782386779785,2.3164270401000975,2.2471835613250732,0.109375,0.15625,0.009545874956529588,2.733550999953877
152,2.1144752502441406,2.2487629890441894,2.2249460220336914,0.1015625,0.1875,0.011067915998864919,2.746819374966435
153,2.0968475341796875,2.2357277870178223,2.247002124786377,0.0859375,0.171875,0.015323499974329025,2.764417083002627
154,2.148469924926758,2.2167628049850463,2.2480461597442627,0.08984375,0.125,0.014871833962388337,2.781252874992788
155,2.123591899871826,2.223847675323486,2.2814042568206787,0.05859375,0.15625,0.01403949997620657,2.7972817919799127
156,2.22121524810791,2.2260358333587646,2.2351648807525635,0.1328125,0.109375,0.013870709051843733,2.8131741249817424
157,2.1781702041625977,2.226414513587952,2.299015522003174,0.1015625,0.140625,0.012161375023424625,2.827364625001792
158,2.141214609146118,2.221480107307434,2.219007968902588,0.09375,0.125,0.016597915964666754,2.845948625006713
159,2.129873275756836,2.212198853492737,2.2196154594421387,0.0859375,0.109375,0.011175749998074025,2.8591919579776004
160,2.050980806350708,2.201391839981079,2.2769384384155273,0.09765625,0.140625,0.010786874976474792,2.8719382919953205
161,2.1699533462524414,2.2100916385650633,2.2229394912719727,0.10546875,0.171875,0.012361541972495615,2.886296707962174
162,2.1196484565734863,2.2118358612060547,2.3196356296539307,0.0859375,0.171875,0.013805540977045894,2.9021937499637716
163,2.1087117195129395,2.2188897848129274,2.2602601051330566,0.05859375,0.1875,0.010544791002757847,2.9147756249876693
164,2.2065250873565674,2.2350669145584106,2.263935089111328,0.0859375,0.140625,0.01187124999705702,2.9285578329581767
165,2.161290407180786,2.228369641304016,2.372168779373169,0.10546875,0.078125,0.014105624984949827,2.94476391695207
166,2.257383108139038,2.240437078475952,2.4165921211242676,0.11328125,0.125,0.012204041995573789,2.9590557499905117
167,2.2751994132995605,2.2608930587768556,2.3404653072357178,0.09375,0.0625,0.016806542000267655,2.97783404198708
168,2.208427667617798,2.2745178937911987,2.2526187896728516,0.08203125,0.140625,0.01903704204596579,2.999087707954459
169,2.2389371395111084,2.284219670295715,2.2207558155059814,0.08203125,0.046875,0.006871916993986815,3.0080489169922657
170,2.0532658100128174,2.282528853416443,2.2756505012512207,0.0859375,0.15625,0.007443124952260405,3.0176953329937533
171,2.211095094680786,2.285342741012573,2.2199528217315674,0.0859375,0.078125,0.011244625027757138,3.031120583007578
172,2.1435840129852295,2.2862916707992555,2.2227189540863037,0.078125,0.078125,0.01024337497074157,3.043438416963909
173,2.245529890060425,2.289683222770691,2.250716209411621,0.08203125,0.109375,0.011240375053603202,3.0566412499756552
174,2.1416611671447754,2.2769508361816406,2.226886749267578,0.08203125,0.109375,0.00794241699622944,3.0668130419799127
175,2.1799745559692383,2.2784143686294556,2.243971109390259,0.0859375,0.09375,0.00911516702035442,3.0782371669774875
176,2.1392929553985596,2.2577488899230955,2.2205491065979004,0.09765625,0.140625,0.008933832985349,3.089253291953355
177,2.1845932006835938,2.234362745285034,2.22234845161438,0.0859375,0.109375,0.011083042016252875,3.102302291954402
178,2.0760838985443115,2.2231640338897707,2.233140230178833,0.08984375,0.140625,0.010662582993973047,3.114953624957707
179,2.097054958343506,2.2204147815704345,2.293595314025879,0.0546875,0.140625,0.011438541987445205,3.128316124959383
180,2.15689754486084,2.234983444213867,2.246713161468506,0.05078125,0.09375,0.013015709002502263,3.1433140829904005
181,2.1063072681427,2.2255494356155396,2.2762017250061035,0.109375,0.140625,0.013674957968760282,3.159076207957696
182,2.0782527923583984,2.225446081161499,2.2720046043395996,0.10546875,0.171875,0.015913625014945865,3.1768967079697177
183,2.168261766433716,2.2266772508621218,2.268082618713379,0.0859375,0.21875,0.02091929200105369,3.200009041989688
184,2.1999526023864746,2.232963275909424,2.3476083278656006,0.08203125,0.109375,0.016583958000410348,3.2186945829889737
185,2.3025851249694824,2.248987579345703,2.3015799522399902,0.0859375,0.109375,0.01743758301017806,3.2380790829774924
186,2.2766051292419434,2.256213164329529,2.2834205627441406,0.1015625,0.078125,0.006956125027500093,3.246992166968994
187,2.2857680320739746,2.2634134531021117,2.2913589477539062,0.08984375,0.09375,0.00665341701824218,3.2555848750052974
